ENMARMMETA;ARMOIRE EN METALE
ENMARMBOIS;ARMOIRE EN BOIS 
ENMDATASHO;DATA SHOW
ENMDASHMIR;SUPPORT MIRROIR DATA SHOW 
ENMPC003;PC ALL IN ONE HP
ENMCHACAN;CHAISE CONTINE 
ENMTABCAN;TABLE CONTINE 
ENMBANC;BANC
ENMTBLMAG;TABLEAU MAGIQUE 
ENMTBLAFF;TABLEAU DE AFFICHAGE 
ENMTAB001;TABLE MONOPLACE 
ENMCHA001;CHAISE FORMICA
ENMECRHP;ECRAN ORDINATEUR HP
ENMUNTHP;UNITE CENTRALE HP 
ENMCLAV ;CLAVIER
ENMSOUR;SOURIS
ENMTAB002;TABLE EN BOIS
ENMCHA002;CHAISE EN BOIS 
ENMTABM1;TABLE MAITRE
ENMPC001;PC ALL IN ONE THINKCENTER
ENMTBLBOI;TABLEAU EN BOIS
ENMPC002;PC  ALL IN ONE LENOVO
ENMTEL;TELEPHONE FIX 
ENMPHOTOCO;PHOTOCOPIE SHARP
ENMTABPREP;TABLE PREPARATOIRE
ENMCHAPREP;CHAISE PREPARATOIRE
ENMPOUB;POUBELLE 
ENMCHAROU;CHAISE ROULANT
ENMCHAVIS;CHAISE VISITEUR
ENMBUREAU;BUREAU
ADMTABBASE;TABLE BASE
ADMSALCUIR;SALLON CUIRE
ADMTAB001;TABLE MONOPLACE 
ADMPC002;PC ALL IN ONE LENOVO
ADMTELFIX;TELEPHONE FIX 
ADMCAVIER;CLAVIER
ADMSOUR;SOURIS
ADMPOUBE;POUBELLE 
ADMTIRCAIS;TIRROIRE DE CAISSE
SDBTBLMAG;TABLEAU MAGIQUE 
SDBCHAMAT;CHAISE MATERNEL
SDBTABMAT;TABLEAU MATERNEL
SDBELEBOIS;ELEMENT EN BOIS
SDBTABMONO;TABLE MONOPLACE 
SDBIMPRIMA;IMPRIMANTE
SDBTABAFF;TABLEAU DE AFFICHAGE 
SDBPCLONOV;PC ALL IN ONE LONOVO
SDBCLAVIER;CALAVIER
SDBSOURIE;SOURIS
SDBCHAFOR;CHAISE FORMICA
SDBBUREAUMAIT;BUREAU MAITRE
SDBDATSHOW;DATA SHOW
SDBMUDASH;MURALE DATA SHOW 
SDBBANCMAT;BANC MATERNEL
SDBRADCD;RADIO CD
SDBMONTRE;MONTRE
SDBMIROIRE;MIRROIRE
SDBPORMON;PORTE MONTEAUX
SDBTELEPH;TELEPHONE FIX 
SDBCHAVIS;CHAISE VISITEUR
SDBTABVIS;TABLE VISITEUR
SDBTV;TELEVISION 
SDBELEMETA;ELEMENT METALIQUE 
SDBPOUBEL;POUBELLE 
SDBPCASUS;PC ALL IN ONE ASUS
SDBTABBOIS;TABLEAU EN BOIS 
SDBEMPLSON;AMPLIFICATEUR SON 
SDBTABPLAS;TABLE PLASTIQUE
SDBFRIGID;FRIGIDAIRE
SDBMICROND;MICRO-ONDE
SDBTELEPH;TELEPHONE 
SDBPHOTOCOP;PHOTOCOPIE SHARP
SDBSUPMAT;SUPPORT MATELAS 
SDBTABTACT;TABLEAU TACTILE
SDBPCHP;PC ALL IN ONE HP 
SDBPCPORTA;PC PORTABLE
SDBBUREAU;BUREAU
SDBCHAROUL;CHAISE ROULANT
SDBUNICEN;UNITE CENTRALE
SDBECRAN;ECRAN PC 
SDBTIRCAIS;TIRROIRE DE CAISSE
SDBBUFLESON;BAFFLE DE SON 
SDBCHACAN;CHAISE CONTINE 
ENMTABCAFF;TABLE CAFF2TIRIA
ENMCLIMATI;CLIMATISEUR 
ENMRADCD;RADIO CD
ENMAMPLI;AMPLIFICATEUR
ENMPC004;PC ALL IN ONE HKC
ENMUNTACER;UNITE CENTRALE ACER
ENMECRACER;ECRAN ACER
ENMECRADELL;ECRAN DELL
ENMTABINFO;TABLE INFORMATIQUE
ADMARMMETA;ARMOIRE METALIQUE
ADMFRIGID;FRIGIDAIRE
ENMTABTAC;TABLE TACTILE
ENMARMMETA;ARMOIRE METALIQUE
ENMHVIAN;HACHOIRE A VIANDE
ENMHSALA;HACHOIRE A SALADE
ENMGUIAD;GUIADE
ENMFRITE;FRITEUSE
ENMGAZ;GAZ
ENMRICHO;RICHO
ENMFOURELEC;FOUR ELECTRIQUE 
EMTABINOX;TABLE INOX 
ENMTABCAN;TABLE CONTINE 
ENMFRIGID;FRIGIDAIRE
ENMCONGILA;CONGILATEUR
ENMCHARIO;CHARIO
ENMBATTER;BATTEUR
ENMMOSTI;MOSTIQUAIRE
SDBSAMAIN;SECHE A MAIN 
ADMIMPRIMA;IMPRIMANTE
ADMCHAVIS;CHAISE VISITEUR
ADMBUREAU;BUREAU
ADMPCPORTA;PC PORTABLE
ADMCHAUFFA;CHAUFFAGE 
ADMMIR;MIRROIRE
ADMSALLON;SALON 
ADMARMBOIS;ARMOIRE EN BOIS 
ADMCHAROUL;CHAISE ROULANT
ADMECRSAM;ECRAN SAMSUNG 
ADMDVR;DVR
ADMCLAVIER;CLAVIER
ADMPHOTOCO;PHOTOCOPIE SHARP
ADMDATSHO;DATA SHOW
ENMPORMON;PORTE MONTEAUX
SDBCHEVP;CHEVALIERS PEINTURES
ENMSVAL;SUPPORT ALIMINIUM
ADMDATASHO;DATA SHOW
AMDDASHMIR;DATA SHOW MURALE 
ADMTABMAG;TABLEAU MAGIQUE 
ADMTV;TV 
ENMBAFFLE;BUFFLE 
ENMBATTEUR;BATTEUR 
ENMCHAUFFA;CHAUFFAGE 
ENMCDATSHO;COMMANDE DATA SHOW 
ENMFOURELC;FOUR ELECTRIQUE 
ENMIMPRIMAN;IMPRIMANTE 
ENMPCPORT;PC PORTABLE
ENMSALCUIR;SALLON CUIRE
ENMTABBASE;TABLE BASSE 
ENMTABINOX;TABLE INOX 
ENMTABLAFF;TABLEAU AFFICHAGE 
ENMTIRCAIS;TIRROIRE DE CAISSE
ENMTV;TV 
SDBAMPLSON;AMLIFICATEUR SON 
SDBBURMAIT;BUREAU MAITRE
SDBINPRIMA;IMPRIMANTE 
SDBMUDATSH;MURALE DATA SHOW 
SDBPCLENOV;PC ALL IN ONE LENOVO 
SDBPHOTCOP;PHOTOCOPIE SHARP
SDBTABMAG;TABLEAU MAGIQUE 
